Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"What is the complexity of the following function?for (int i=0 ; i < n ; i++){ int k = n; while (k > 1){ sum++; k = k/2; }}
", , ,"T(nlogn)
", , ,"Our code has 2 loops involved; 1 for loop and 1 while loop. The for loop loops n times, so our answer is going to be n multiplied by the order of the while loop.The order of the while loop is log(n), as with each loop we keep halving k (If you imagine a graph with y=n at x=0, it will show a logarithmic relationship if for each increase in x you halve n.)This gives us the resulting answer of O(nlogn)
",
"Which of the following are stable sorts?1. Selectionsort2. Insertionsort3. Shellsort4. Quicksort5. Mergesort
", , , , ," 2 and 5
","Insertionsort and mergesort are both stable sorts. Selectionsort, shellsort and quicksort are unstable.
",
"On average, how many nodes would you expect to be in the fourth lane of a skip-list with 64 elements (Assuming the first lane contains all elements)?
", , , ,"8
", ,"As we move up to the next lane, we expect the number of nodes to be half the number that were in the previous lane. In this exampleLANE 1: 64 nodesLANE 2: 32 nodesLANE 3: 16 nodesLANE 4: 8 nodes
",
"There are various ways to Traverse a Tree. These are :
", , ,"Post-Order TraversalIn-Order TraversalLevel-Order TraversalPre-Order Traversal
", , ,,"lemesios10 (al951 - permission to this course revoked)
"
"What is the best, worst, and average/amortised runtime of adding an element to an arraylist?
","Best: 1Worst: nAmortised: 1
", , , , ,"Amortized analysis doesn't naively multiply the number of invocations with the worst case for one invocation.
",
"Which of the following sets of sorting algorithms are all stable?
", , ,"Bubble, Merge, Insertion
", , ,"Out of Selection, Insertion, Bubble, Shell, Quick, Merge and Heap sorts, only Insertion, Bubble and Merge sorts are stable.
",
"What will the following list of numbers look like after 2 iterations of a bubble sort:6, 5, 3, 4, 1, 8, 7, 2, 9
","3, 4, 1, 5, 6, 2, 7, 8, 9
", , , , ,"After the first iteration:5, 3, 4, 1, 6, 7, 2, 8, 9After the second iteration:3, 4, 1, 5, 6, 2, 7, 8, 9
",
"If a function f(x), has (n^2) time complexity, which of the following statements is false, under large values for n?
","f(x) will complete in at most quadratic time
", , , , ,,"liampugh (ljp67 - permission to this course revoked)
"
"If I was to add the number 8 to the following tree, what type of balancing algorithm will be required: (4) / \ (2) (6) \ (9)
", , ,"Clockwise with (9) and (8) and then Anticlockwise with (6), (9) and (8)
", , ,"After the first Clockwise the tree looks like: (4) / \ (2) (6) \ (8) \ (9)And then after the Clockwise rotation it becomes: (4) / \ (2) (8) / \ (6) (9)which is now balanced
",
"If a measuring instrument is described as ""precise"", what does it mean?
","Repeated measurements of the same value conducted with this instrument will yield results that are very close together.
", , , , ,,"liampugh (ljp67 - permission to this course revoked)
"
"If this is an unbalanced AVL tree, what are the new leaf nodes of the tree once it has been balanced? (7) / \ (5) (10) / \ (4) (9) / (1)
","Root 5: leaf nodes 1, 9, 10.
", , , , ,"Use of the re-balancing and rotation algorithms to create a tree that looks like this: (5) / \ (4) (7) / \ \ (1) (9) (10)However other implementations using the right sub-tree instead is also valid, as long as all balance factors are -1, 0, or 1.
",
"Which of the choices below best describes mergesort?
", , , , ," Mergesort can be applied to a linked list, is stable, complexity O(nlogn)
","O(nlogn) because for keep dividing piles in half until pile just 1 item = logn -- do it for n items = nlogn
",
"Which of these statements is FALSE
", , , ,"The average case (i.e. the average number of steps) of binary search is N
", ,,"bgc (ac2291 - permission to this course revoked)
"
"Who invented AVL trees?
","Georgy Adelson-Velsky & Evgenii Landis
", , , , ,"Trees 3rd lecture
",
"What is the notation for the upper bound time complexity?
", ,"O
", , , ,,"bu220 (bu220)
"
"What is an advantage of a List over an array?
", ,"It is faster to insert elements into a list.
", , , ,,"bu220 (bu220)
"
"Which sorting algorithm has the fastest average case?
","Quick sort
", , , , ,"The time complexity of Quicksort is O(n log n) in the best case, O(n log n) in the average case, and O(n^2) in the worst case. This is the fastest average case for sorting algorithms.
",
"Which of the following applies to Selection Sort?
", , , , ," Unstable and?(n2)
","Unstable as Selection Sort does not take into account the initial ordering of the elements in the list.The time complexity of Selection Sort is always?(n2) no matter what.
",
"In the given array, how many steps would it take to find the value '20' when using binary search?__________________________________| 6 | 10 | 13 | 15 | 19 | 20 | 27 | 39 | 41 | 48 |
", ,"3
", , , ,"In the binary search algorithm we keep on dividing our search in half until we finally arrive at our value.Therefore each step of the algorithm would divide the array as follows:__________________________________| 6 | 10 | 13 | 15 | 19 | 20 | 27 | 39 | 41 | 48 | L M H__________________________________| 6 | 10 | 13 | 15 | 19 | 20 | 27 | 39 | 41 | 48 | L M H__________________________________| 6 | 10 | 13 | 15 | 19 | 20 | 27 | 39 | 41 | 48 | L H ^ Found in 3 steps
",
"With a load of 0.50, which of these statements are correct?
","Average number of steps to insert/find an item for a Closed hash table is 1.5Average number of steps to insert/find an item for anOpen hash table is 1.25
", , , , ,,"acp42 (acp42 - permission to this course revoked)
"
"Which of these statements is the Big-Oh transitivity rule?
", ,"if f(n)=O(g(n)) and g(n)=O(h(n)) then f(n)=O(h(n))
", , , ,"if f(n)=O(g(n)) and g(n)=O(h(n)) then f(n)=O(h(n))i.e if A<B & B<C then A<C
",
"What is the max number of comparisons needed to find a name with binary search in the following list:AaronAndreaBenBryceEmmaJamesJohnVictoria
", ,"3
", , , ,"log(n)
",
"A tree is a type of ....
", , , ,"Linked List
", ,"In the first trees lecture
",
"Suppose we have the following AVLTree. If we remove the root node 4 correctly, how could the binary treelook like after? (4) / \ / \ / \ / \ (2) (6) / \ / \ / \ / \ (1) (3) (5) (7) / \ / \ (0) (8)
", ,"5 is the root, 0, 3, 6, and 8 are leaves
", , , ,"The lecture slide states to replace the removal node's value by the greatest value of the left branchor the lowest value on the right branch.So if we chose 5 on the right branch, we would then need to balance the tree by rotating left on(6) \ (7) after rotate right = (7) \ / \ (8) (6) (8)then leave the left branch untouched to obtain leave nodes: 0, 3, 6, 8We can also choose 3 on the left branch, however, the leave nodes are balanced incorrectly.
",
"Which of the following statements is true?
", , ,"Selection Sort has an unstable default implementation and has O(n^2) complexity
", , ,"Merge Sort is stable and has O(nlog(n)) complexity.Quick Sort is not stable and has O(n^2) complexity.Insertion Sort is stable and has O(n^2) complexity.
",
"Which of these properties do not apply to big-Oh notation?
", , , ,"Proportionality:For all c>0: f(cn) = O(cf(n))
", ,"You have Proportionality:For all c>0: f(cn) = O(cf(n))confused withScaling:For all c>0: cf(n) = O(f(n)).Multiplying the n-value it acts on does not affect the order of the whole function
",
"Let c,N be real numbers, and f(n), g(n) be time complexity functions.The function f(n) is said to be O(g(n)) if:
", , , ,"For some value of c, f(n) < c*g(n), for all n>N.
", ,"A) This is the definition of big-omegaB) This lacks the constant c in the definitionC) This is for all n<N (inequality is wrong way round) i.e. the statement is true before N, rather than after ND) This is the correct choice
",
"Which of the following sorting algorithms is the fastest for nearly sorted data?
", , ,"Insertion sort
", , ,"Insertion sort only needs a few cycles in order to fully sort a nearly sorted list but becomes slower when the data is more out of order
",
"Which of the following sorts is not a real sort?
", , , ,"Dump Sort
", ,,"wleeanglin (wla24 - permission to this course revoked)
"
"Which definition for the types of traversal is incorrect?
", , ,"PREORDER TRAVERSAL1. Process the current node.2. Process the nodes in the right sub-tree.3. Process the nodes in the left sub-tree.
", , ,,"bh598 (bh598 - permission to this course revoked)
"
"It is faster to remove an item from the middle of a linked list or from the middle of an array?
","Linked list
", , , , ,,"bh598 (bh598 - permission to this course revoked)
"
"How many buckets would you need in your open hash table If you wish to store 10,000 items in an average of 1.45 steps? (To the nearest integer)
", ,"11,111
", , , ,"# steps = 1 + L/2 = 1.45therefore L = 0.9L = max keys to insert / total # of buckets in arrayso total # buckets in array = max keys to insert / L = 10,000 / 0.9 = 11,111
",
"Given the following selection of integers,2,5,11,14,17,24,51Which of the following would be valid AVL trees:1: 14 11 17 2 5 24 512: 24 14 51 5 17 2 11 3: 14 5 24 2 11 17 514: 51 17 24 2 5 11 14
", , , ,"3
", ,"3 is the only valid AVL tree, as it is the only BSTin which the heights of the left and right sub-trees of each node differ at most by 1.
",
"You should only use a closed hash table (with linear probing) if __________
", ,"You never need to remove elements.
", , , ,,"tmr38 (tmr38 - permission to this course revoked)
"
"Which of the following unbalanced AVL trees are impossible to balance? (NOTE: For these trees, elements that have the same value as the current node are placed to the left of the current node)1) 4 4 42) 9 8 83) 2 2 14) 5 1 7 1 1
", , ,"1 and 3
", , ,"1) cannot be balanced because same elements go the left of each other and therefore you cannot have 4 4 42) can be balanced to 8 using right rotation. 8 93) cannot be balanced because neither 2 nor 1 are allowed due to the same elements to the left consistency rule. 1 2 2 24) can be balanced to 1 using right rotation on the root node (5). 1 5 1 7
",
"What is in the ""root"" object of an empty tree?
", , , ,"Null
", ,"The root is a pointer and so will point to the first element, if it exists.If the tree is empty, there is no such first element and so it will point to Null - the pointer doesn't point to anything.""Null"" is incorrect as it is a stringA 'null' node is incorrect as it is a node and so an element of the tree exists, making it non-empty.
",
"Which of these sorting methods is slowest?
","Quick Sort
", , , , ,,"leogriff (ljig20 - permission to this course revoked)
"
